,task,input,output
3029,antonyms,willingness,unwillingness
2873,antonyms,discontinuation,continuation
3371,antonyms,accept,refuse
2260,antonyms,conductor,insulator
1768,antonyms,overhead,surface
3455,antonyms,equilibrium,disequilibrium
1382,antonyms,controversial,uncontroversial
2235,antonyms,valuable,worthless
1120,antonyms,accuracy,inaccuracy
1524,antonyms,unipolar,bipolar
2414,antonyms,fairly,unfairly
1837,antonyms,mechanical,nonmechanical
1229,antonyms,impractical,practical
1303,antonyms,outpatient,inpatient
3117,antonyms,adjusted,unadjusted
2869,antonyms,negate,affirm
2885,antonyms,ungrateful,grateful
2920,antonyms,forgiving,unforgiving
942,antonyms,available,unavailable
1503,antonyms,enable,disable
1278,antonyms,unbelief,belief
2771,antonyms,disintegrate,integrate
1675,antonyms,dejected,elated
2430,antonyms,gnostic,agnostic
2972,antonyms,lend,borrow
1931,antonyms,inclusion,exclusion
2175,antonyms,cautious,incautious
2405,antonyms,specialist,generalist
2185,antonyms,tractable,intractable
2399,antonyms,tolerable,intolerable
2450,antonyms,contraindicate,indicate
1976,antonyms,feminine,neuter
906,antonyms,linear,cubic
2682,antonyms,unmanned,manned
2088,antonyms,ancestor,descendant
3342,antonyms,descend,ascend
1123,antonyms,amphoteric,alkaline
1654,antonyms,nonmodern,modern
1520,antonyms,faceless,faced
3428,antonyms,contested,uncontested
1600,antonyms,cursed,blessed
948,antonyms,holy,unholy
3170,antonyms,solved,unsolved
1437,antonyms,treated,untreated
2658,antonyms,fixed,unfixed
2431,antonyms,incentive,disincentive
1650,antonyms,defeated,undefeated
1862,antonyms,validate,invalidate
1846,antonyms,deviate,conform
2871,antonyms,shorten,lengthen
2528,antonyms,invertebrate,vertebrate
1035,antonyms,enthusiastic,unenthusiastic
1121,antonyms,inaccessibility,accessibility
1801,antonyms,appreciate,depreciate
3196,antonyms,softness,hardness
1821,antonyms,interesting,uninteresting
3419,antonyms,drained,undrained
2846,antonyms,unsympathetic,sympathetic
909,antonyms,incomparable,comparable
1487,antonyms,maximum,minimum
3047,antonyms,badly,well
3353,antonyms,happy,unhappy
1815,antonyms,foreign,native
2971,antonyms,wife,husband
3075,antonyms,bless,curse
2294,antonyms,progressive,regressive
2788,antonyms,underestimate,overestimate
2945,antonyms,invigorating,debilitating
2049,antonyms,inarticulate,articulate
1857,antonyms,appealing,unappealing
1245,antonyms,intrinsic,extrinsic
3435,antonyms,fallible,infallible
1142,antonyms,imperfect,perfect
3341,antonyms,formed,unformed
3090,antonyms,molar,molecular
2599,antonyms,tense,relaxed
3285,antonyms,quickly,slowly
1128,antonyms,sensory,extrasensory
3131,antonyms,discourage,encourage
2569,antonyms,unpleasant,pleasant
1485,antonyms,encouraging,discouraging
1337,antonyms,straighten,bend
2828,antonyms,studied,unstudied
1344,antonyms,avascular,vascular
1176,antonyms,endogenous,exogenous
2992,antonyms,immoderately,moderately
2214,antonyms,distrust,trust
1440,antonyms,untidy,tidy
2342,antonyms,accurate,inaccurate
3230,antonyms,unsurprising,surprising
2707,antonyms,dishonor,honor
3347,antonyms,troubled,untroubled
1877,antonyms,inactivity,activity
1802,antonyms,pain,pleasure
1692,antonyms,nonindustrial,industrial
3469,antonyms,angular,rounded
3261,antonyms,success,failure
1311,antonyms,earned,unearned
2292,antonyms,uncrowned,crowned
1790,antonyms,beauty,ugliness
1727,antonyms,hypothyroidism,hyperthyroidism
2512,antonyms,unambitious,ambitious
3289,antonyms,regulate,deregulate
2951,antonyms,unexciting,exciting
3255,antonyms,nonpayment,payment
2366,antonyms,visibly,invisibly
1553,antonyms,hairy,hairless
2849,antonyms,homosexual,heterosexual
2752,antonyms,perpendicular,parallel
2091,antonyms,unemotional,emotional
1813,antonyms,noble,ignoble
1835,antonyms,backless,backed
3013,antonyms,noncritical,critical
2498,antonyms,loosening,tightening
2982,antonyms,disappearance,appearance
2636,antonyms,periodic,aperiodic
1736,antonyms,furnished,unfurnished
3127,antonyms,thirsty,hungry
2355,antonyms,obedient,disobedient
1369,antonyms,adorned,unadorned
2270,antonyms,certain,uncertain
1807,antonyms,cheerful,depressing
3322,antonyms,least,most
1109,antonyms,arming,disarming
1928,antonyms,egalitarian,elitist
1639,antonyms,dullness,brightness
1465,antonyms,accustomed,unaccustomed
1097,antonyms,disappear,appear
