task,input,output
antonyms,egoistic,altruistic
antonyms,bipolar,unipolar
antonyms,supersonic,sonic
antonyms,ending,beginning
antonyms,unfitness,fitness
antonyms,prolix,concise
antonyms,unmindful,mindful
antonyms,king,queen
antonyms,collateral,lineal
antonyms,uncreative,creative
antonyms,hypothyroidism,hyperthyroidism
antonyms,inconstant,constant
antonyms,dissimilarity,similarity
antonyms,inadmissible,admissible
antonyms,dissent,assent
antonyms,credibly,incredibly
antonyms,intermediate,terminal
antonyms,mortality,immortality
antonyms,peripherally,centrally
antonyms,furnished,unfurnished
antonyms,discontinuous,continuous
antonyms,night,day
antonyms,fortunately,unfortunately
antonyms,opposite,alternate
antonyms,distributed,concentrated
antonyms,unsent,sent
antonyms,incompatibility,compatibility
antonyms,intangible,tangible
antonyms,indication,contraindication
antonyms,unravel,ravel
antonyms,humane,inhumane
antonyms,listed,unlisted
antonyms,cooperative,uncooperative
antonyms,nonsignificant,significant
antonyms,prescriptive,descriptive
antonyms,dependent,independent
antonyms,unenclosed,enclosed
antonyms,ventral,dorsal
antonyms,personal,impersonal
antonyms,contamination,decontamination
antonyms,cowardly,brave
antonyms,desecrated,consecrated
antonyms,nonintegrated,integrated
antonyms,broadly,narrowly
antonyms,evil,good
antonyms,endocrine,exocrine
antonyms,unfit,fit
antonyms,involuntarily,voluntarily
antonyms,discontinue,continue
antonyms,wane,wax
antonyms,medulla,cortex
antonyms,overhead,surface
antonyms,epidemic,endemic
antonyms,selected,unselected
antonyms,righteous,unrighteous
antonyms,antecedent,subsequent
antonyms,provincial,cosmopolitan
antonyms,reported,unreported
antonyms,indecency,decency
antonyms,overestimate,underestimate
antonyms,meaningful,meaningless
antonyms,activator,inhibitor
antonyms,characteristic,uncharacteristic
antonyms,unqualified,qualified
antonyms,insolubility,solubility
antonyms,stupidity,intelligence
antonyms,fidelity,infidelity
antonyms,export,import
antonyms,boldness,timidity
antonyms,compatibility,incompatibility
antonyms,multiple,single
antonyms,disapproval,approval
antonyms,hospitable,inhospitable
antonyms,beauty,ugliness
antonyms,assent,dissent
antonyms,smoky,smokeless
antonyms,harmful,harmless
antonyms,estimable,contemptible
antonyms,coordination,incoordination
antonyms,beautiful,ugly
antonyms,uncontroversial,controversial
antonyms,decency,indecency
antonyms,vulnerability,invulnerability
antonyms,innocent,guilty
antonyms,appreciate,depreciate
antonyms,pain,pleasure
antonyms,veiled,unveiled
antonyms,away,home
antonyms,specifically,generally
antonyms,thoughtless,thoughtful
antonyms,cheerful,depressing
antonyms,buttoned,unbuttoned
antonyms,classification,declassification
antonyms,unreflected,reflected
antonyms,diurnal,nocturnal
antonyms,unfortunately,fortunately
antonyms,noble,ignoble
antonyms,correct,incorrect
antonyms,foreign,native
antonyms,surprising,unsurprising
antonyms,tightening,loosening
antonyms,absolve,blame
antonyms,disapprobation,approbation
antonyms,impotency,potency
antonyms,interesting,uninteresting
antonyms,advisable,inadvisable
antonyms,disinflation,inflation
antonyms,coordinating,subordinating
antonyms,unfavorably,favorably
antonyms,relaxed,tense
antonyms,disclaim,claim
antonyms,lean,rich
antonyms,prosecution,defense
antonyms,thickly,thinly
antonyms,good,bad
antonyms,questionable,unquestionable
antonyms,unearned,earned
antonyms,patient,impatient
antonyms,backless,backed
antonyms,unlawfully,lawfully
antonyms,mechanical,nonmechanical
antonyms,nonproliferation,proliferation
antonyms,tasteful,tasteless
antonyms,impotent,potent
antonyms,top,side
antonyms,unwilling,willing
antonyms,head,foot
antonyms,handless,handed
antonyms,unbind,bind
antonyms,deviate,conform
antonyms,contemptible,estimable
antonyms,concealed,unconcealed
antonyms,intentionally,unintentionally
antonyms,independent,dependent
antonyms,unacceptable,acceptable
antonyms,incoordination,coordination
antonyms,adequate,inadequate
antonyms,leader,follower
antonyms,fashionable,unfashionable
antonyms,relevant,irrelevant
antonyms,appealing,unappealing
antonyms,guilt,innocence
antonyms,honor,dishonor
antonyms,convergent,divergent
antonyms,eligible,ineligible
antonyms,validate,invalidate
antonyms,socialism,capitalism
antonyms,trackless,tracked
antonyms,little,much
antonyms,stabilization,destabilization
antonyms,overt,covert
antonyms,instrumental,vocal
antonyms,unprejudiced,prejudiced
antonyms,deprive,enrich
antonyms,avoid,confront
antonyms,recorded,live
antonyms,disabling,enabling
antonyms,insensibility,sensibility
antonyms,verso,recto
antonyms,dignified,undignified
antonyms,inactivity,activity
antonyms,disprove,prove
antonyms,extensor,flexor
antonyms,unplanned,planned
antonyms,unimpaired,impaired
antonyms,constitutional,unconstitutional
antonyms,segregated,integrated
antonyms,indefinite,definite
antonyms,anterior,posterior
antonyms,detach,attach
antonyms,widen,narrow
antonyms,extracellular,intracellular
antonyms,live,dead
antonyms,permanent,impermanent
antonyms,usefulness,uselessness
antonyms,unrestricted,restricted
antonyms,inspiring,uninspiring
antonyms,discourtesy,courtesy
antonyms,wicked,virtuous
antonyms,unwholesome,wholesome
antonyms,ingratitude,gratitude
antonyms,covert,overt
antonyms,heavenly,earthly
antonyms,increased,decreased
antonyms,unconfirmed,confirmed
antonyms,citizen,noncitizen
antonyms,reverence,irreverence
antonyms,push,pull
antonyms,reflected,unreflected
antonyms,tightness,looseness
antonyms,impartial,partial
antonyms,passively,actively
antonyms,inclination,disinclination
antonyms,dead,living
antonyms,settled,unsettled
antonyms,oral,anal
antonyms,majority,minority
antonyms,unpainted,painted
antonyms,insensitive,sensitive
antonyms,invasive,confined
antonyms,disrepute,repute
antonyms,compatible,incompatible
antonyms,uninhabited,inhabited
antonyms,increase,decrease
antonyms,faced,faceless
antonyms,secondary,primary
antonyms,focused,unfocused
antonyms,intractable,tractable
antonyms,incautious,cautious
antonyms,unformed,formed
antonyms,weaken,strengthen
antonyms,egalitarian,elitist
antonyms,disarranged,arranged
antonyms,unoriented,oriented
antonyms,inclusion,exclusion
antonyms,unfairness,fairness
antonyms,attack,defend
antonyms,destabilize,stabilize
antonyms,unlawful,lawful
antonyms,smart,stupid
antonyms,side,top
antonyms,activation,inactivation
antonyms,unsound,sound
antonyms,diatonic,chromatic
antonyms,upstream,downstream
antonyms,unobvious,obvious
antonyms,preparation,resolution
antonyms,minority,majority
antonyms,heterogeneous,homogeneous
antonyms,fit,unfit
antonyms,unselected,selected
antonyms,regular,irregular
antonyms,maladjusted,adjusted
antonyms,claim,forfeit
antonyms,colorlessness,color
antonyms,anticholinergic,cholinergic
antonyms,winged,wingless
antonyms,honestly,dishonestly
antonyms,cry,laugh
antonyms,illegal,legal
antonyms,tied,untied
antonyms,incompleteness,completeness
antonyms,nonfinancial,financial
antonyms,indiscreet,discreet
antonyms,uncorrected,corrected
antonyms,following,leading
antonyms,continent,incontinent
antonyms,obstructed,unobstructed
antonyms,decreasing,increasing
antonyms,increasing,decreasing
antonyms,resist,surrender
antonyms,importance,unimportance
antonyms,manned,unmanned
antonyms,historical,ahistorical
antonyms,equivocal,unequivocal
antonyms,nonconformity,conformity
antonyms,carelessness,carefulness
antonyms,sidereal,civil
antonyms,uncolored,colored
antonyms,feminine,neuter
antonyms,include,exclude
antonyms,inequality,equality
antonyms,masculine,neuter
antonyms,eyed,eyeless
antonyms,primarily,secondarily
antonyms,persuade,dissuade
antonyms,veer,back
antonyms,maximal,minimal
antonyms,incurious,curious
antonyms,unproved,proved
antonyms,taxable,nontaxable
antonyms,aboral,oral
antonyms,united,divided
antonyms,depreciate,appreciate
antonyms,nontechnical,technical
antonyms,sadly,happily
antonyms,immortality,mortality
antonyms,deductible,nondeductible
antonyms,leafless,leafy
antonyms,sharpness,softness
antonyms,sedate,stimulate
antonyms,courteous,discourteous
antonyms,insolvency,solvency
antonyms,revocable,irrevocable
antonyms,unscrupulous,scrupulous
antonyms,unsupervised,supervised
antonyms,nonthermal,thermal
antonyms,antagonistic,conciliatory
antonyms,nontraditional,traditional
antonyms,single,double
antonyms,exhale,inhale
antonyms,nonpartisan,partisan
antonyms,buried,unburied
antonyms,noninterference,interference
antonyms,wintry,autumnal
antonyms,discomfort,comfort
antonyms,perceptible,imperceptible
antonyms,gather,spread
antonyms,prove,disprove
antonyms,lighted,unlighted
antonyms,disarmament,armament
antonyms,differentiated,undifferentiated
antonyms,spontaneous,induced
antonyms,wary,unwary
antonyms,withdraw,deposit
antonyms,suitably,unsuitably
antonyms,unmilitary,military
antonyms,prejudiced,unprejudiced
antonyms,excited,unexcited
antonyms,kindly,unkindly
antonyms,musical,unmusical
antonyms,difficulty,ease
antonyms,unsigned,signed
antonyms,magnetic,geographic
antonyms,proportionately,disproportionately
antonyms,ascend,descend
antonyms,infinitely,finitely
antonyms,finite,infinite
antonyms,counterclockwise,clockwise
antonyms,pregnant,nonpregnant
antonyms,sleep,wake
antonyms,abridged,unabridged
antonyms,inconspicuous,conspicuous
antonyms,timidity,boldness
antonyms,external,internal
antonyms,impartiality,partiality
antonyms,trust,distrust
antonyms,clergyman,layman
antonyms,inpatient,outpatient
antonyms,nonfunctional,functional
antonyms,unlighted,lighted
antonyms,armament,disarmament
antonyms,inarticulate,articulate
antonyms,unvoiced,voiced
antonyms,prewar,postwar
antonyms,divided,united
antonyms,cold,hot
antonyms,survive,succumb
antonyms,onshore,offshore
antonyms,rigid,nonrigid
antonyms,sporadic,continual
antonyms,irrelevant,relevant
antonyms,posterior,anterior
antonyms,liberal,conservative
antonyms,purge,rehabilitate
antonyms,carelessly,carefully
antonyms,irresponsible,responsible
antonyms,incredibly,credibly
antonyms,transparency,opacity
antonyms,mutable,immutable
antonyms,activity,inactivity
antonyms,upwards,downwards
antonyms,impious,pious
antonyms,conveniently,inconveniently
antonyms,faithful,unfaithful
antonyms,vernal,wintry
antonyms,unacknowledged,acknowledged
antonyms,thrifty,wasteful
antonyms,civilian,military
antonyms,surrender,resist
antonyms,bony,boneless
antonyms,depressing,cheerful
antonyms,many,few
antonyms,realistic,unrealistic
antonyms,terrestrial,aquatic
antonyms,unfocused,focused
antonyms,unlined,lined
antonyms,westerly,easterly
antonyms,uncouple,couple
antonyms,experienced,inexperienced
antonyms,identifiable,unidentifiable
antonyms,ancestor,descendant
antonyms,unmoving,moving
antonyms,wet,dry
antonyms,unemotional,emotional
antonyms,invisibly,visibly
antonyms,shaded,unshaded
antonyms,outdoor,indoor
antonyms,victory,defeat
antonyms,unpack,pack
antonyms,perfection,imperfection
antonyms,seated,standing
antonyms,approval,disapproval
antonyms,unquestionable,questionable
antonyms,dispensable,indispensable
antonyms,record,erase
antonyms,unselfish,selfish
antonyms,reversible,irreversible
antonyms,deregulate,regulate
antonyms,serviceman,civilian
antonyms,processed,unprocessed
antonyms,sleeping,waking
antonyms,matched,mismatched
antonyms,stupid,smart
antonyms,upward,downward
antonyms,tonic,atonic
antonyms,unadorned,adorned
antonyms,incredulous,credulous
antonyms,oriented,unoriented
antonyms,unknowingly,knowingly
antonyms,bold,timid
antonyms,able,unable
antonyms,lined,unlined
antonyms,proactive,retroactive
antonyms,equity,inequity
antonyms,irreplaceable,replaceable
antonyms,substantial,insubstantial
antonyms,charitable,uncharitable
antonyms,convergence,divergence
antonyms,designed,undesigned
antonyms,commissioned,noncommissioned
antonyms,current,noncurrent
antonyms,obscurity,clarity
antonyms,sophisticated,naive
antonyms,inequitable,equitable
antonyms,discreet,indiscreet
antonyms,mature,immature
antonyms,humble,proud
antonyms,abstract,concrete
antonyms,polished,unpolished
antonyms,destroyed,preserved
antonyms,unidentifiable,identifiable
antonyms,accurately,inaccurately
antonyms,deactivation,activation
antonyms,friendly,hostile
antonyms,funded,unfunded
antonyms,enforceable,unenforceable
antonyms,logically,illogically
antonyms,convenience,inconvenience
antonyms,artful,artless
antonyms,divisible,indivisible
antonyms,unhappy,happy
antonyms,noxious,innocuous
antonyms,planned,unplanned
antonyms,corporeal,incorporeal
antonyms,generality,particularity
antonyms,fertile,sterile
antonyms,normal,abnormal
antonyms,noninstitutional,institutional
antonyms,defend,attack
antonyms,hyperthyroidism,hypothyroidism
antonyms,uncontrolled,controlled
antonyms,illness,wellness
antonyms,issue,recall
antonyms,unregulated,regulated
antonyms,noncitizen,citizen
antonyms,capitalism,socialism
antonyms,lineal,collateral
antonyms,unmanageable,manageable
antonyms,decline,improvement
antonyms,analyze,synthesize
antonyms,determinate,indeterminate
antonyms,tolerant,intolerant
antonyms,compliant,defiant
antonyms,well,ill
